ID	Name	Age	Nationality	Overall	Potential	Club
212523	Anderson Talisca	24	Brazil	83	90	Guangzhou Evergrande Taobao FC
212188	T. Werner	22	Germany	83	87	RB Leipzig
210008	A. Rabiot	23	France	83	87	Paris Saint-Germain
209658	L. Goretzka	23	Germany	83	88	FC Bayern München
208808	Q. Promes	26	Netherlands	83	84	Sevilla FC
208670	H. Ziyech	25	Morocco	83	86	Ajax
208618	Lucas Vázquez	27	Spain	83	83	Real Madrid
208418	Y. Carrasco	24	Belgium	83	86	Dalian YiFang FC
208093	Gerard Moreno	26	Spain	83	85	Villarreal CF
207863	Felipe	29	Brazil	83	83	FC Porto
207410	M. Kova?i?	24	Croatia	83	89	Chelsea
206585	Kepa	23	Spain	83	91	Chelsea
206545	Manu Trigueros	26	Spain	83	84	Villarreal CF
206113	S. Gnabry	22	Germany	83	88	FC Bayern München
204935	J. Pickford	24	England	83	88	Everton
204639	S. Savi?	27	Montenegro	83	86	Atlético Madrid
203574	J. Stones	24	England	83	87	Manchester City
202651	Suso	24	Spain	83	86	Milan
202166	J. Draxler	24	Germany	83	86	Paris Saint-Germain
201995	Felipe Anderson	25	Brazil	83	85	West Ham United
200949	Lucas Moura	25	Brazil	83	84	Tottenham Hotspur
200888	Danilo Pereira	26	Portugal	83	86	FC Porto
200724	Nacho Fernández	28	Spain	83	85	Real Madrid
200316	T. Horn	25	Germany	83	87	1. FC Köln
199914	Allan	27	Brazil	83	83	Napoli
199845	F. Acerbi	30	Italy	83	83	Lazio
199564	Sergi Roberto	26	Spain	83	86	FC Barcelona
198329	Rodrigo	27	Spain	83	84	Valencia CF
197965	Pizzi	28	Portugal	83	83	SL Benfica
195365	K. Kampl	27	Slovenia	83	83	RB Leipzig
194404	Neto	28	Brazil	83	84	Valencia CF
193698	O. Baumann	28	Germany	83	84	TSG 1899 Hoffenheim
193474	I. Gueye	28	Senegal	83	83	Everton
192883	H. Mkhitaryan	29	Armenia	83	83	Arsenal
192638	Marcos Alonso	27	Spain	83	84	Chelsea
192593	D. Subaši?	33	Croatia	83	83	AS Monaco
190547	K. Glik	30	Poland	83	83	AS Monaco
189712	K. Strootman	28	Netherlands	83	83	Olympique de Marseille
189068	B. Dost	29	Netherlands	83	83	Sporting CP
188152	Oscar	26	Brazil	83	84	Shanghai SIPG FC
186627	M. Balotelli	27	Italy	83	83	OGC Nice
185221	Luiz Gustavo	30	Brazil	83	83	Olympique de Marseille
184942	Giuliano	28	Brazil	83	83	Al Nassr
179944	David Luiz	31	Brazil	83	83	Chelsea
179783	R. Fährmann	29	Germany	83	84	FC Schalke 04
178088	Juan Mata	30	Spain	83	83	Manchester United
178086	Adán	31	Spain	83	83	Atlético Madrid
178005	Rui Patrício	30	Portugal	83	83	Wolverhampton Wanderers
177683	Y. Sommer	29	Switzerland	83	84	Borussia Mönchengladbach
177610	Javi Martínez	29	Spain	83	83	FC Bayern München
177457	L. Bender	29	Germany	83	83	Bayer 04 Leverkusen
176266	Lucas Leiva	31	Brazil	83	83	Lazio
163705	S. Mandanda	33	France	83	83	Olympique de Marseille
162895	Cesc Fàbregas	31	Spain	83	83	Chelsea
162240	M. Dembélé	30	Belgium	83	83	Tottenham Hotspur
156616	F. Ribéry	35	France	83	83	FC Bayern München
104389	R. Jarstein	33	Norway	83	83	Hertha BSC
53302	D. De Rossi	34	Italy	83	83	Roma
24630	Pepe Reina	35	Spain	83	83	Milan
236583	J. Pavlenka	26	Czech Republic	82	85	SV Werder Bremen
235243	M. de Ligt	18	Netherlands	82	91	Ajax
231866	Rodri	22	Spain	82	87	Atlético Madrid
230658	Arthur	21	Brazil	82	90	FC Barcelona
230621	G. Donnarumma	19	Italy	82	93	Milan
230258	Rosberto Dourado	30	Brazil	82	82	Atlético Mineiro
230225	Juiano Mestres	34	Brazil	82	82	Cruzeiro
230168	Raphaelito Anjos	30	Brazil	82	82	Grêmio
227055	Gelson Martins	23	Portugal	82	87	Atlético Madrid
224411	Gonçalo Guedes	21	Portugal	82	86	Valencia CF
223959	L. Torreira	22	Uruguay	82	87	Arsenal
222737	Malcom	21	Brazil	82	89	FC Barcelona
221087	Pau López	23	Spain	82	87	Real Betis
220814	L. Hernández	22	France	82	88	Atlético Madrid
220440	C. Lenglet	23	France	82	88	FC Barcelona
216354	A. Kramari?	27	Croatia	82	83	TSG 1899 Hoffenheim
216267	A. Robertson	24	Scotland	82	87	Liverpool
216194	Dani García	28	Spain	82	83	Athletic Club de Bilbao
212404	F. Bernardeschi	24	Italy	82	87	Juventus
212194	J. Brandt	22	Germany	82	88	Bayer 04 Leverkusen
211320	D. Rugani	23	Italy	82	86	Juventus
210617	Samu Castillejo	23	Spain	82	86	Milan
210514	João Cancelo	24	Portugal	82	88	Juventus
210413	A. Romagnoli	23	Italy	82	89	Milan
209989	T. Partey	25	Ghana	82	88	Atlético Madrid
209297	Fred	25	Brazil	82	84	Manchester United
208830	J. Vardy	31	England	82	82	Leicester City
208596	A. Belotti	24	Italy	82	87	Torino
208448	E. Forsberg	26	Sweden	82	83	RB Leipzig
207494	J. Lingard	25	England	82	83	Manchester United
207471	F. Vázquez	29	Argentina	82	82	Sevilla FC
205678	E. Viš?a	28	Bosnia Herzegovina	82	82	Medipol Ba?ak?ehir FK
205452	A. Rüdiger	25	Germany	82	84	Chelsea
203551	A. Florenzi	27	Italy	82	83	Roma
203263	H. Maguire	25	England	82	85	Leicester City
202371	T. Meunier	26	Belgium	82	83	Paris Saint-Germain
201956	S. Sané	27	Senegal	82	82	FC Schalke 04
201455	G. Kondogbia	25	Central African Rep.	82	85	Valencia CF
201400	Rafinha	25	Brazil	82	87	FC Barcelona
201305	Gabriel Paulista	27	Brazil	82	83	Valencia CF
201153	Morata	25	Spain	82	85	Chelsea
199987	J. Cillessen	29	Netherlands	82	84	FC Barcelona
199451	W. Ben Yedder	27	France	82	82	Sevilla FC
198951	C. Bakambu	27	DR Congo	82	83	Beijing Sinobo Guoan FC
198950	Pablo Sarabia	26	Spain	82	83	Sevilla FC
198717	W. Zaha	25	Ivory Coast	82	85	Crystal Palace
198706	Luis Alberto	25	Spain	82	85	Lazio
198164	Jonathan Viera	28	Spain	82	82	Beijing Sinobo Guoan FC
198141	Bartra	27	Spain	82	83	Real Betis
197655	S. Coates	27	Uruguay	82	83	Sporting CP
195093	Willian José	26	Brazil	82	83	Real Sociedad
193525	Mário Fernandes	27	Russia	82	82	PFC CSKA Moscow
193469	Víctor Ruiz	29	Spain	82	83	Villarreal CF
193283	T. Delaney	26	Denmark	82	83	Borussia Dortmund
192984	K. Casteels	26	Belgium	82	85	VfL Wolfsburg
192318	M. Götze	26	Germany	82	85	Borussia Dortmund
192227	S. Mustafi	26	Germany	82	84	Arsenal
191180	J. Pastore	29	Argentina	82	82	Roma
189505	Pedro	30	Spain	82	82	Chelsea
189125	G. Bonaventura	28	Italy	82	82	Milan
189117	R. Bürki	27	Switzerland	82	85	Borussia Dortmund
188803	Taison	30	Brazil	82	82	Shakhtar Donetsk
187936	S. Nzonzi	29	France	82	82	Roma
187754	Marlos	30	Ukraine	82	82	Shakhtar Donetsk
186561	A. Ramsey	27	Wales	82	83	Arsenal
186345	K. Trippier	27	England	82	82	Tottenham Hotspur
185103	A. Kolarov	32	Serbia	82	82	Roma
184484	G. Sigurðsson	28	Iceland	82	82	Everton
184431	S. Giovinco	31	Italy	82	82	Toronto FC
184200	M. Arnautovi?	29	Austria	82	82	West Ham United
184144	N. Gaitán	30	Argentina	82	82	Dalian YiFang FC
183711	J. Henderson	28	England	82	82	Liverpool
183574	M. Kruse	30	Germany	82	82	SV Werder Bremen
183498	M. Parolo	33	Italy	82	82	Lazio
183376	L. Fejsa	29	Serbia	82	82	SL Benfica
183280	A. Rami	32	France	82	82	Olympique de Marseille
181786	V. ?orluka	32	Croatia	82	82	Lokomotiv Moscow
181291	G. Wijnaldum	27	Netherlands	82	82	Liverpool
179847	F. Fazio	31	Argentina	82	82	Roma
178509	O. Giroud	31	France	82	82	Chelsea
173521	Marcano	31	Spain	82	82	Roma
171897	A. Guardado	31	Mexico	82	82	Real Betis
170481	E. Garay	31	Argentina	82	82	Valencia CF
168530	Jardel	32	Brazil	82	82	SL Benfica
168435	S. Sirigu	31	Italy	82	82	Torino
168354	E. Viviano	32	Italy	82	82	Sporting CP
165229	L. Koscielny	32	France	82	82	Arsenal
163489	A. Consigli	31	Italy	82	82	Sassuolo
158963	L. Biglia	32	Argentina	82	82	Milan
146530	Dani Alves	35	Brazil	82	82	Paris Saint-Germain
113422	David Villa	36	Spain	82	82	New York City FC
106231	Aduriz	37	Spain	82	82	Athletic Club de Bilbao
48940	P. ?ech	36	Czech Republic	82	82	Arsenal
5479	Casillas	37	Spain	82	82	FC Porto
231677	M. Rashford	20	England	81	89	Manchester United
230271	Laure Santeiro	30	Brazil	81	81	Fluminense
229906	L. Bailey	20	Jamaica	81	89	Bayer 04 Leverkusen
229237	M. Akanji	22	Switzerland	81	87	Borussia Dortmund
228702	F. de Jong	21	Netherlands	81	89	Ajax
227928	Nélson Semedo	24	Portugal	81	86	FC Barcelona
226456	Pablo Fornals	22	Spain	81	86	Villarreal CF
226271	Fabián	22	Spain	81	89	Napoli
225508	E. Bailly	24	Ivory Coast	81	87	Manchester United
222509	Dani Ceballos	21	Spain	81	88	Real Madrid
221992	H. Lozano	22	Mexico	81	86	PSV
216475	Morales	30	Spain	81	81	Levante UD
216451	J. Seri	26	Ivory Coast	81	82	Fulham
216409	M. Politano	24	Italy	81	84	Inter
216352	M. Brozovi?	25	Croatia	81	84	Inter
216201	Williams	24	Spain	81	87	Athletic Club de Bilbao
214997	A. Correa	23	Argentina	81	87	Atlético Madrid
213661	A. Christensen	22	Denmark	81	88	Chelsea
212814	João Mário	25	Portugal	81	84	Inter
212151	T. Strakosha	23	Albania	81	86	Lazio
210864	E. Hysaj	24	Albania	81	86	Napoli
210406	P. Zieli?ski	24	Poland	81	88	Napoli
210243	Ricardo Pereira	24	Portugal	81	85	Leicester City
210035	Grimaldo	22	Spain	81	87	SL Benfica
209889	R. Guerreiro	24	Portugal	81	86	Borussia Dortmund
208135	A. Doucouré	25	France	81	85	Watford
207877	J. Martínez	25	Venezuela	81	84	Atlanta United
207664	C. Bacca	31	Colombia	81	81	Villarreal CF
206467	A. Plea	25	France	81	83	Borussia Mönchengladbach
205923	B. Davies	25	Wales	81	84	Tottenham Hotspur
205362	M. Nastasi?	25	Serbia	81	84	FC Schalke 04
205175	A. Milik	24	Poland	81	88	Napoli
204923	M. Sabitzer	24	Austria	81	84	RB Leipzig
204884	B. Mendy	23	France	81	86	Manchester City
204024	C. Kramer	27	Germany	81	82	Borussia Mönchengladbach
203890	S. Vrsaljko	26	Croatia	81	84	Inter
203486	T. Hazard	25	Belgium	81	83	Borussia Mönchengladbach
202857	K. Bellarabi	28	Germany	81	81	Bayer 04 Leverkusen
202685	S. Zaza	27	Italy	81	82	Torino
201454	F. Ghoulam	27	Algeria	81	82	Napoli
200726	B. Lecomte	27	France	81	84	Montpellier HSC
200647	J. Ili?i?	30	Slovenia	81	81	Atalanta
200610	K. Volland	25	Germany	81	83	Bayer 04 Leverkusen
200454	Paco Alcácer	24	Spain	81	85	Borussia Dortmund
199715	Vitolo	28	Spain	81	81	Atlético Madrid
199503	G. Xhaka	25	Switzerland	81	84	Arsenal
199434	D. Tadi?	29	Serbia	81	81	Ajax
199042	C. Aránguiz	29	Chile	81	81	Bayer 04 Leverkusen
196889	S. Verdi	25	Italy	81	81	Napoli
195086	D. Lovren	28	Croatia	81	82	Liverpool
193532	G. Medel	30	Chile	81	81	Be?ikta? JK
193348	X. Shaqiri	26	Switzerland	81	81	Liverpool
193165	J. Corona	25	Mexico	81	83	FC Porto
193105	A. Areola	25	France	81	85	Paris Saint-Germain
192641	K. Vogt	26	Germany	81	82	TSG 1899 Hoffenheim
191740	Ander Herrera	28	Spain	81	81	Manchester United
190972	E. Salvio	27	Argentina	81	81	SL Benfica
190813	S. El Shaarawy	25	Italy	81	82	Roma
189881	C. Smalling	28	England	81	82	Manchester United
189362	Hulk	31	Brazil	81	81	Shanghai SIPG FC
189358	S. Kagawa	29	Japan	81	81	Borussia Dortmund
188988	M. Lanzini	25	Argentina	81	85	West Ham United
187491	F. Smolov	28	Russia	81	81	Lokomotiv Moscow
187072	L. Stindl	29	Germany	81	81	Borussia Mönchengladbach
185239	O. Toprak	28	Turkey	81	82	Borussia Dortmund
183900	D. Perotti	29	Argentina	81	81	Roma
182494	F. Muslera	32	Uruguay	81	81	Galatasaray SK
179784	B. Höwedes	30	Germany	81	81	Lokomotiv Moscow
179645	S. Kjær	29	Denmark	81	81	Sevilla FC
177458	S. Bender	29	Germany	81	81	Bayer 04 Leverkusen
177326	M. Valbuena	33	France	81	81	Fenerbahçe SK
175379	Pedro León	31	Spain	81	81	SD Eibar
173909	K. Boateng	31	Ghana	81	81	Sassuolo
173771	L. Piszczek	33	Poland	81	81	Borussia Dortmund
173221	A. Candreva	31	Italy	81	81	Inter
172522	D. Wass	29	Denmark	81	81	Valencia CF
170368	E. Lamela	26	Argentina	81	82	Tottenham Hotspur
169595	D. Rose	27	England	81	81	Tottenham Hotspur
169416	C. Vela	29	Mexico	81	81	Los Angeles FC
169195	Renato Augusto	30	Brazil	81	81	Beijing Sinobo Guoan FC
167905	A. Valencia	32	Ecuador	81	81	Manchester United
164835	L. Fabia?ski	33	Poland	81	81	West Ham United
162347	João Moutinho	31	Portugal	81	81	Wolverhampton Wanderers
161956	Borja Valero	33	Spain	81	81	Inter
159261	F. Quagliarella	35	Italy	81	81	Sampdoria
159145	B. Gomis	32	France	81	81	Al Hilal
157960	Manuel Fernandes	32	Portugal	81	81	Lokomotiv Moscow
156519	H. Herrera	28	Mexico	81	81	FC Porto
144622	Raffael	33	Brazil	81	81	Borussia Mönchengladbach
139068	Nani	31	Portugal	81	81	Sporting CP
138412	J. Milner	32	England	81	81	Liverpool
112316	J. Mathieu	34	France	81	81	Sporting CP
45186	Joaquín	36	Spain	81	81	Real Betis
239207	M. Gómez	21	Uruguay	80	85	RC Celta
235790	K. Havertz	19	Germany	80	89	Bayer 04 Leverkusen
235569	T. Ndombele	21	France	80	89	Olympique Lyonnais
234906	H. Aouar	20	France	80	90	Olympique Lyonnais
234153	Carlos Soler	21	Spain	80	87	Valencia CF
234035	Odriozola	22	Spain	80	88	Real Madrid
230977	M. Almirón	24	Paraguay	80	84	Atlanta United
230347	Welington Dano	30	Brazil	80	80	Cruzeiro
230234	Everton Andrão	34	Brazil	80	80	Fluminense
230142	Oyarzabal	21	Spain	80	87	Real Sociedad
228229	F. Balbuena	26	Paraguay	80	83	West Ham United
227536	M. Marega	27	Mali	80	80	FC Porto
226851	B. Pavard	22	France	80	86	VfB Stuttgart
226790	W. Ndidi	21	Nigeria	80	85	Leicester City
226753	A. Onana	22	Cameroon	80	85	Ajax
226226	G. Lo Celso	22	Argentina	80	86	Real Betis
224334	M. Acuña	26	Argentina	80	80	Sporting CP
224293	Rúben Neves	21	Portugal	80	87	Wolverhampton Wanderers
221639	Mariano	24	Dominican Republic	80	85	Real Madrid
221540	Raúl	28	Brazil	80	80	SC Braga
220477	M. Caldara	24	Italy	80	86	Milan
219985	M. Vecino	26	Uruguay	80	81	Inter
219809	T. Bakayoko	23	France	80	85	Milan
218339	M. Dahoud	22	Germany	80	86	Borussia Dortmund
216547	Rafa	25	Portugal	80	83	SL Benfica
215785	K. Baldé	23	Senegal	80	85	Inter
215316	G. Rulli	26	Argentina	80	85	Real Sociedad
214584	F. Armani	31	Argentina	80	80	River Plate
212692	Rony Lopes	22	Portugal	80	85	AS Monaco
212623	Santi Mina	22	Spain	80	85	Valencia CF
211748	K. Demirbay	24	Germany	80	84	TSG 1899 Hoffenheim
211688	Gayà	23	Spain	80	85	Valencia CF
211575	André Gomes	24	Portugal	80	85	Everton
211256	N. Tagliafico	25	Argentina	80	82	Ajax
210896	M. Sanson	23	France	80	85	Olympique de Marseille
209960	Pacheco	26	Spain	80	83	Deportivo Alavés
208333	E. Can	24	Germany	80	85	Juventus
208128	H. Çalhano?lu	24	Turkey	80	84	Milan
207862	M. Ginter	24	Germany	80	82	Borussia Mönchengladbach
207599	M. Keane	25	England	80	83	Everton
207439	L. Paredes	24	Argentina	80	85	
206413	T. Stepanenko	28	Ukraine	80	80	Shakhtar Donetsk
205988	L. Shaw	22	England	80	85	Manchester United
205705	Z. Feddal	28	Morocco	80	80	Real Betis
205693	S. Haller	24	France	80	83	Eintracht Frankfurt
205525	Bernard	25	Brazil	80	81	Everton
205114	T. Inui	30	Japan	80	80	Real Betis
205070	Portu	26	Spain	80	81	Girona FC
204529	M. Batshuayi	24	Belgium	80	84	Valencia CF
204399	E. Zahavi	30	Israel	80	80	Guangzhou R&F; FC
204120	T. Vaclík	29	Czech Republic	80	81	Sevilla FC
203841	N. Pope	26	England	80	83	Burnley
203747	Héctor Bellerín	23	Spain	80	85	Arsenal
203605	P. Kade?ábek	26	Czech Republic	80	81	TSG 1899 Hoffenheim
203042	J. Butland	25	England	80	85	Stoke City
202849	J. Vestergaard	25	Denmark	80	81	Southampton
202695	J. Tarkowski	25	England	80	83	Burnley
202477	Deulofeu	24	Spain	80	82	Watford
202335	E. Dier	24	England	80	84	Tottenham Hotspur
201377	J. Murillo	26	Colombia	80	84	Valencia CF
201144	M. Badelj	29	Croatia	80	80	Lazio
201119	Ismaily	28	Brazil	80	80	Shakhtar Donetsk
200536	N. Schulz	25	Germany	80	81	TSG 1899 Hoffenheim
200458	L. Digne	24	France	80	84	Everton
200318	M. Uth	26	Germany	80	81	FC Schalke 04
200315	Cristian Tello	26	Spain	80	80	Real Betis
199206	D. Vida	29	Croatia	80	80	Be?ikta? JK
199110	L. Muriel	27	Colombia	80	81	Sevilla FC
199069	V. Aboubakar	26	Cameroon	80	82	FC Porto
198784	A. Oxlade-Chamberlain	24	England	80	85	Liverpool
197853	S. Aurier	25	Ivory Coast	80	83	Tottenham Hotspur
197061	J. Matip	26	Cameroon	80	82	Liverpool
195861	Y. Rakitskyi	28	Ukraine	80	80	Shakhtar Donetsk
194879	Sergi Enrich	28	Spain	80	80	SD Eibar
194794	A. Yarmolenko	28	Ukraine	80	80	West Ham United
194229	Hugo Mallo	27	Spain	80	81	RC Celta
194022	André Almeida	27	Portugal	80	80	SL Benfica
193886	D. Didavi	28	Germany	80	80	VfB Stuttgart
193352	R. Rodríguez	25	Switzerland	80	83	Milan
